Temperature	Replicate	Day	Survivor	Mortality
10		1		1	20		0
10		1		2	20		0
10		1		3	20		2
10		1		4	18		1
10		1		5	17		0
10		1		6	17		0
10		1		7	17		0
10		2		1	20		0
10		2		2	20		0
10		2		3	20		0
10		2		4	20		0
10		2		5	20		0
10		2		6	17		3
10		2		7	17		0
10		3		1	20		0
10		3		2	20		0
10		3		3	20		2
10		3		4	18		1
10		3		5	17		2
10		3		6	17		0
10		3		7	17		0
15		1		1	20		1
15		1		2	19		0
15		1		3	19		1
15		1		4	18		0
15		1		5	18		1
15		1		6	17		2
15		1		7	15		0
15		2		1	20		0
15		2		2	20		0
15		2		3	20		1
15		2		4	19		0
15		2		5	19		1
15		2		6	18		2
15		2		7	16		0
15		3		1	20		0
15		3		2	20		0
15		3		3	20		2
15		3		4	18		0
15		3		5	18		2
15		3		6	16		2
15		3		7	14		0
20		1		1	20		0
20		1		2	15		5
20		1		3	12		3
20		1		4	10		2
20		1		5	8		2
20		1		6	6		2
20		1		7	6		0
20		2		1	20		0
20		2		2	16		4
20		2		3	12		4
20		2		4	8		4
20		2		5	7		1
20		2		6	7		0
20		2		7	7		0
20		3		1	18		2
20		3		2	16		2
20		3		3	10		6
20		3		4	7		3
20		3		5	7		0
20		3		6	7		0
20		3		7	7		0
25		1		1	20		2
25		1		2	18		0
25		1		3	15		3
25		1		4	10		5
25		1		5	8		2
25		1		6	5		3
25		1		7	5		0
25		2		1	20		4
25		2		2	16		0
25		2		3	16		0
25		2		4	11		5
25		2		5	8		3
25		2		6	6		2
25		2		7	0		0
25		3		1	20		2
25		3		2	18		3
25		3		3	15		2
25		3		4	13		6
25		3		5	5		2
25		3		6	0		0
25		3		7	0		0
30		1		1	20		0
30		1		2	16		4
30		1		3	10		6
30		1		4	8		2
30		1		5	4		4
30		1		6	4		0
30		1		7	0		0
30		2		1	20		0
30		2		2	18		2
30		2		3	14		4
30		2		4	10		4
30		2		5	6		4
30		2		6	4		2
30		2		7	4		0
30		3		1	20		0
30		3		2	17		3
30		3		3	11		6
30		3		4	7		4
30		3		5	4		3
30		3		6	4		0
30		3		7	4		0
35		1		1	20		0
35		1		2	19		1
35		1		3	17		2
35		1		4	15		2
35		1		5	15		0
35		1		6	15		0
35		1		7	15		0
35		2		1	20		4
35		2		2	16		0
35		2		3	16		0
35		2		4	16		0
35		2		5	15		1
35		2		6	15		0
35		2		7	15		0
35		3		1	20		0
35		3		2	17		3
35		3		3	15		2
35		3		4	15		0
35		3		5	14		1
35		3		6	14		0
35		3		7	14		0
40		1		1	20		0
40		1		2	0		0
40		1		3	0		0
40		1		4	0		0
40		1		5	0		0
40		1		6	0		0
40		1		7	0		0
40		2		1	0		0
40		2		2	0		0
40		2		3	0		0
40		2		4	0		0
40		2		5	0		0
40		2		6	0		0
40		2		7	0		0
40		3		1	0		0
40		3		2	0		0
40		3		3	0		0
40		3		4	0		0
40		3		5	0		0
40		3		6	0		0
40		3		7	0		0
